node1,node2
AP1B1,HIP1R
AP1B1,CLVS2
ASPSCR1,UFD1L
ASPSCR1,UBXN7
ASPSCR1,NSFL1C
ASPSCR1,VCP
ATP6V1A,vATPase_complexes
ATP6V1B2,vATPase_complexes
ATP6V1D,vATPase_complexes
ATP6V1E1,vATPase_complexes
ATP6V1F,vATPase_complexes
ATP6V1G1,vATPase_complexes
ATP6V1H,vATPase_complexes
B2M,MHCI_complexes
CALR,MHCI_complexes
CD1B,CD1D
CD1B,MHCI_complexes
CD1D,CD1B
CD1D,MHCI_complexes
CD8A,MHCI_complexes
CHMP2A,ESCRT_complexes
CHMP2B,ESCRT_complexes
CHMP3,ESCRT_complexes
CHMP4B,ESCRT_complexes
CLVS2,AP1B1
DERL1,MHCI_complexes
DERL1,VCP
ESCRT_complexes,RAB7A
ESCRT_complexes,XPO1
ESCRT_complexes,HIP1R
GGA1,RAB5A
HGS,ESCRT_complexes
HIP1R,ESCRT_complexes
HIP1R,AP1B1
HLA-A,MHCI_complexes
HLA-B,MHCI_complexes
HLA-C,MHCI_complexes
HLA-E,MHCI_complexes
HLA-G,MHCI_complexes
ImportinBetaAlpha_complexes,MHCI_complexes
ImportinBetaAlpha_complexes,XPO5
ImportinBetaAlpha_complexes,XPO1
KLRC1,MHCI_complexes
KLRC1,KLRD1
KLRD1,MHCI_complexes
KLRD1,KLRC1
KPNA1,ImportinBetaAlpha_complexes
KPNA2,ImportinBetaAlpha_complexes
KPNB1,ImportinBetaAlpha_complexes
MHCI_complexes,CD1B
MHCI_complexes,CD1D
MHCI_complexes,KLRD1
MHCI_complexes,KLRC1
MHCI_complexes,ImportinBetaAlpha_complexes
MHCI_complexes,VCP
MHCI_complexes,DERL1
NSFL1C,UFD1L
NSFL1C,UBXN7
NSFL1C,ASPSCR1
NSFL1C,VCP
NUTF2,ImportinBetaAlpha_complexes
RAB5A,RAB7A
RAB5A,GGA1
RAB7A,ESCRT_complexes
RAB7A,RAB5A
RAN,ImportinBetaAlpha_complexes
STAM,ESCRT_complexes
TSG101,ESCRT_complexes
UBXN7,UFD1L
UBXN7,vATPase_complexes
UBXN7,ASPSCR1
UBXN7,NSFL1C
UBXN7,VCP
UFD1L,ASPSCR1
UFD1L,NSFL1C
UFD1L,VPS33B
UFD1L,UBXN7
UFD1L,VCP
vATPase_complexes,UBXN7
VCP,DERL1
VCP,UFD1L
VCP,UBXN7
VCP,ASPSCR1
VCP,MHCI_complexes
VCP,NSFL1C
VPS33B,UFD1L
XPO1,ESCRT_complexes
XPO1,ImportinBetaAlpha_complexes
XPO5,ImportinBetaAlpha_complexes
