node1,node2,node1_string_id,node2_string_id,homology,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
AP1B1,HIP1R,9606.ENSP00000350199,9606.ENSP00000253083,0,0.131,0.6,0,0.637
AP1B1,CLVS2,9606.ENSP00000350199,9606.ENSP00000275162,0,0,0.6,0,0.6
ASPSCR1,UFD1L,9606.ENSP00000306625,9606.ENSP00000263202,0,0.438,0,0,0.438
ASPSCR1,UBXN7,9606.ENSP00000306625,9606.ENSP00000296328,0,0.472,0,0,0.472
ASPSCR1,NSFL1C,9606.ENSP00000306625,9606.ENSP00000418529,0,0.747,0,0,0.747
ASPSCR1,VCP,9606.ENSP00000306625,9606.ENSP00000351777,0,0.782,0,0,0.782
ATP6V1A,ATP6V1D,9606.ENSP00000273398,9606.ENSP00000216442,0,0.995,0.8,0,0.999
ATP6V1A,ATP6V1E1,9606.ENSP00000273398,9606.ENSP00000253413,0,0.984,0.8,0,0.996
ATP6V1A,ATP6V1G1,9606.ENSP00000273398,9606.ENSP00000363162,0,0.959,0.8,0,0.991
ATP6V1A,ATP6V1F,9606.ENSP00000273398,9606.ENSP00000417378,0,0.943,0.8,0,0.988
ATP6V1A,ATP6V1H,9606.ENSP00000273398,9606.ENSP00000352522,0,0.978,0.8,0,0.995
ATP6V1A,ATP6V1B2,9606.ENSP00000273398,9606.ENSP00000276390,0,0.984,0.8,0,0.996
ATP6V1B2,ATP6V1D,9606.ENSP00000276390,9606.ENSP00000216442,0,0.985,0.8,0,0.997
ATP6V1B2,ATP6V1E1,9606.ENSP00000276390,9606.ENSP00000253413,0,0.984,0.8,0,0.996
ATP6V1B2,ATP6V1A,9606.ENSP00000276390,9606.ENSP00000273398,0,0.984,0.8,0,0.996
ATP6V1B2,UBXN7,9606.ENSP00000276390,9606.ENSP00000296328,0,0.465,0,0,0.465
ATP6V1B2,ATP6V1H,9606.ENSP00000276390,9606.ENSP00000352522,0,0.927,0.8,0,0.984
ATP6V1B2,ATP6V1F,9606.ENSP00000276390,9606.ENSP00000417378,0,0.966,0.8,0,0.993
ATP6V1B2,ATP6V1G1,9606.ENSP00000276390,9606.ENSP00000363162,0,0.939,0.8,0,0.987
ATP6V1D,ATP6V1G1,9606.ENSP00000216442,9606.ENSP00000363162,0,0.966,0.8,0,0.992
ATP6V1D,ATP6V1B2,9606.ENSP00000216442,9606.ENSP00000276390,0,0.985,0.8,0,0.997
ATP6V1D,ATP6V1E1,9606.ENSP00000216442,9606.ENSP00000253413,0,0.992,0.8,0,0.998
ATP6V1D,ATP6V1H,9606.ENSP00000216442,9606.ENSP00000352522,0,0.981,0.9,0,0.998
ATP6V1D,ATP6V1F,9606.ENSP00000216442,9606.ENSP00000417378,0,0.982,0.9,0,0.998
ATP6V1D,ATP6V1A,9606.ENSP00000216442,9606.ENSP00000273398,0,0.995,0.8,0,0.999
ATP6V1E1,ATP6V1D,9606.ENSP00000253413,9606.ENSP00000216442,0,0.992,0.8,0,0.998
ATP6V1E1,ATP6V1H,9606.ENSP00000253413,9606.ENSP00000352522,0,0.949,0.8,0,0.989
ATP6V1E1,ATP6V1A,9606.ENSP00000253413,9606.ENSP00000273398,0,0.984,0.8,0,0.996
ATP6V1E1,ATP6V1F,9606.ENSP00000253413,9606.ENSP00000417378,0,0.98,0.8,0,0.995
ATP6V1E1,ATP6V1G1,9606.ENSP00000253413,9606.ENSP00000363162,0,0.975,0.8,0,0.994
ATP6V1E1,ATP6V1B2,9606.ENSP00000253413,9606.ENSP00000276390,0,0.984,0.8,0,0.996
ATP6V1F,ATP6V1D,9606.ENSP00000417378,9606.ENSP00000216442,0,0.982,0.9,0,0.998
ATP6V1F,ATP6V1E1,9606.ENSP00000417378,9606.ENSP00000253413,0,0.98,0.8,0,0.995
ATP6V1F,ATP6V1A,9606.ENSP00000417378,9606.ENSP00000273398,0,0.943,0.8,0,0.988
ATP6V1F,ATP6V1B2,9606.ENSP00000417378,9606.ENSP00000276390,0,0.966,0.8,0,0.993
ATP6V1F,UBXN7,9606.ENSP00000417378,9606.ENSP00000296328,0,0.615,0,0,0.615
ATP6V1F,ATP6V1H,9606.ENSP00000417378,9606.ENSP00000352522,0,0.981,0.9,0,0.998
ATP6V1F,ATP6V1G1,9606.ENSP00000417378,9606.ENSP00000363162,0,0.788,0.8,0,0.955
ATP6V1G1,ATP6V1D,9606.ENSP00000363162,9606.ENSP00000216442,0,0.966,0.8,0,0.992
ATP6V1G1,ATP6V1E1,9606.ENSP00000363162,9606.ENSP00000253413,0,0.975,0.8,0,0.994
ATP6V1G1,ATP6V1A,9606.ENSP00000363162,9606.ENSP00000273398,0,0.959,0.8,0,0.991
ATP6V1G1,ATP6V1B2,9606.ENSP00000363162,9606.ENSP00000276390,0,0.939,0.8,0,0.987
ATP6V1G1,ATP6V1H,9606.ENSP00000363162,9606.ENSP00000352522,0,0.788,0.8,0,0.955
ATP6V1G1,ATP6V1F,9606.ENSP00000363162,9606.ENSP00000417378,0,0.788,0.8,0,0.955
ATP6V1H,ATP6V1D,9606.ENSP00000352522,9606.ENSP00000216442,0,0.981,0.9,0,0.998
ATP6V1H,ATP6V1E1,9606.ENSP00000352522,9606.ENSP00000253413,0,0.949,0.8,0,0.989
ATP6V1H,ATP6V1A,9606.ENSP00000352522,9606.ENSP00000273398,0,0.978,0.8,0,0.995
ATP6V1H,ATP6V1B2,9606.ENSP00000352522,9606.ENSP00000276390,0,0.927,0.8,0,0.984
ATP6V1H,ATP6V1G1,9606.ENSP00000352522,9606.ENSP00000363162,0,0.788,0.8,0,0.955
ATP6V1H,ATP6V1F,9606.ENSP00000352522,9606.ENSP00000417378,0,0.981,0.9,0,0.998
B2M,CALR,9606.ENSP00000452780,9606.ENSP00000320866,0,0.905,0.9,0,0.99
B2M,CD1B,9606.ENSP00000452780,9606.ENSP00000357150,0,0.955,0.8,0,0.99
B2M,CD1D,9606.ENSP00000452780,9606.ENSP00000357153,0,0.957,0.8,0,0.991
B2M,HLA-C,9606.ENSP00000452780,9606.ENSP00000365402,0,0.955,0.8,0,0.99
B2M,HLA-E,9606.ENSP00000452780,9606.ENSP00000365817,0,0.955,0.8,0,0.99
B2M,KLRD1,9606.ENSP00000452780,9606.ENSP00000371333,0,0.928,0.9,0,0.992
B2M,HLA-A,9606.ENSP00000452780,9606.ENSP00000379873,0,0.955,0.9,0,0.995
B2M,CD8A,9606.ENSP00000452780,9606.ENSP00000386559,0,0.918,0.9,0,0.991
B2M,HLA-B,9606.ENSP00000452780,9606.ENSP00000399168,0,0.955,0.8,0,0.99
B2M,HLA-G,9606.ENSP00000452780,9606.ENSP00000412927,0,0.955,0.8,0,0.99
B2M,KLRC1,9606.ENSP00000452780,9606.ENSP00000438038,0,0.933,0.9,0,0.993
B2M,KPNA2,9606.ENSP00000452780,9606.ENSP00000438483,0,0.417,0,0,0.416
CALR,VCP,9606.ENSP00000320866,9606.ENSP00000351777,0,0.419,0,0,0.418
CALR,HLA-G,9606.ENSP00000320866,9606.ENSP00000412927,0,0,0.6,0,0.6
CALR,HLA-C,9606.ENSP00000320866,9606.ENSP00000365402,0,0,0.6,0,0.6
CALR,CD8A,9606.ENSP00000320866,9606.ENSP00000386559,0,0.682,0,0,0.682
CALR,HLA-E,9606.ENSP00000320866,9606.ENSP00000365817,0,0.27,0.6,0,0.695
CALR,HLA-B,9606.ENSP00000320866,9606.ENSP00000399168,0,0.27,0.6,0,0.695
CALR,HLA-A,9606.ENSP00000320866,9606.ENSP00000379873,0,0.8,0.9,0,0.979
CALR,B2M,9606.ENSP00000320866,9606.ENSP00000452780,0,0.905,0.9,0,0.99
CD1B,CD1D,9606.ENSP00000357150,9606.ENSP00000357153,0,0,0.6,0,0.6
CD1B,B2M,9606.ENSP00000357150,9606.ENSP00000452780,0,0.955,0.8,0,0.99
CD1D,CD1B,9606.ENSP00000357153,9606.ENSP00000357150,0,0,0.6,0,0.6
CD1D,B2M,9606.ENSP00000357153,9606.ENSP00000452780,0,0.957,0.8,0,0.991
CD8A,CALR,9606.ENSP00000386559,9606.ENSP00000320866,0,0.682,0,0,0.682
CD8A,HLA-C,9606.ENSP00000386559,9606.ENSP00000365402,0,0.518,0.6,0,0.799
CD8A,HLA-E,9606.ENSP00000386559,9606.ENSP00000365817,0,0.142,0.6,0,0.642
CD8A,HLA-A,9606.ENSP00000386559,9606.ENSP00000379873,0,0.715,0.9,0,0.97
CD8A,HLA-B,9606.ENSP00000386559,9606.ENSP00000399168,0,0.518,0.6,0,0.799
CD8A,HLA-G,9606.ENSP00000386559,9606.ENSP00000412927,0,0.537,0.6,0,0.807
CD8A,B2M,9606.ENSP00000386559,9606.ENSP00000452780,0,0.918,0.9,0,0.991
CHMP2A,CHMP4B,9606.ENSP00000469240,9606.ENSP00000217402,0,0.926,0.9,0,0.992
CHMP2A,TSG101,9606.ENSP00000469240,9606.ENSP00000251968,0,0.134,0.9,0,0.909
CHMP2A,CHMP2B,9606.ENSP00000469240,9606.ENSP00000263780,0,0.87,0.9,0,0.986
CHMP2A,HGS,9606.ENSP00000469240,9606.ENSP00000331201,0,0,0.9,0,0.9
CHMP2A,STAM,9606.ENSP00000469240,9606.ENSP00000366746,0,0,0.9,0,0.9
CHMP2A,CHMP3,9606.ENSP00000469240,9606.ENSP00000405575,0,0.943,0.9,0,0.994
CHMP2B,CHMP4B,9606.ENSP00000263780,9606.ENSP00000217402,0,0.747,0.9,0,0.973
CHMP2B,TSG101,9606.ENSP00000263780,9606.ENSP00000251968,0,0.094,0.9,0,0.905
CHMP2B,STAM,9606.ENSP00000263780,9606.ENSP00000366746,0,0,0.9,0,0.9
CHMP2B,HGS,9606.ENSP00000263780,9606.ENSP00000331201,0,0,0.9,0,0.9
CHMP2B,CHMP3,9606.ENSP00000263780,9606.ENSP00000405575,0,0.684,0.9,0,0.967
CHMP2B,CHMP2A,9606.ENSP00000263780,9606.ENSP00000469240,0,0.87,0.9,0,0.986
CHMP3,CHMP4B,9606.ENSP00000405575,9606.ENSP00000217402,0,0.936,0.9,0,0.993
CHMP3,TSG101,9606.ENSP00000405575,9606.ENSP00000251968,0,0.158,0.9,0,0.912
CHMP3,CHMP2B,9606.ENSP00000405575,9606.ENSP00000263780,0,0.684,0.9,0,0.967
CHMP3,HGS,9606.ENSP00000405575,9606.ENSP00000331201,0,0,0.9,0,0.9
CHMP3,STAM,9606.ENSP00000405575,9606.ENSP00000366746,0,0,0.9,0,0.9
CHMP3,CHMP2A,9606.ENSP00000405575,9606.ENSP00000469240,0,0.943,0.9,0,0.994
CHMP4B,STAM,9606.ENSP00000217402,9606.ENSP00000366746,0,0,0.9,0,0.9
CHMP4B,HGS,9606.ENSP00000217402,9606.ENSP00000331201,0,0.135,0.9,0,0.909
CHMP4B,TSG101,9606.ENSP00000217402,9606.ENSP00000251968,0,0.128,0.9,0,0.909
CHMP4B,CHMP2B,9606.ENSP00000217402,9606.ENSP00000263780,0,0.747,0.9,0,0.973
CHMP4B,CHMP3,9606.ENSP00000217402,9606.ENSP00000405575,0,0.936,0.9,0,0.993
CHMP4B,CHMP2A,9606.ENSP00000217402,9606.ENSP00000469240,0,0.926,0.9,0,0.992
CLVS2,AP1B1,9606.ENSP00000275162,9606.ENSP00000350199,0,0,0.6,0,0.6
DERL1,HLA-A,9606.ENSP00000259512,9606.ENSP00000379873,0,0.483,0,0,0.483
