input,factor type,mtb interaction
DUSP16,mtb target,Eis
TLR2,mtb target,esxA
B2M,mtb target,esxA
HGS,mtb target,esxH:esxG
CORO1A,mtb target,IpdC
RAB5A,mtb target,ndkA
RAB7A,mtb target,ndkA
KPNA1,mtb target,PPE2
KPNB1,mtb target,PPE2
NOS2,mtb target,PPE2
MRC1,mtb target,PstS1
VPS33B,mtb target,PtpA
ATP6V1H,mtb target,PtpA
GSK3A,mtb target,PtpA
TRIM27,mtb target,PtpA
TLR2,mtb target,Rv2779c
RAB7A,mtb target,SapM
AP1B1,EP hit,-
ARL10,EP hit,-
ASPSCR1,EP hit,-
CHMP2A,EP hit,-
KIF6,EP hit,-
CLVS2,EP hit,-
CDC42EP3,EP hit,-
CHMP2B,EP hit,-
GGA1,EP hit,-
GOLT1B,EP hit,-
HIP1R,EP hit,-
VPS26B,EP hit,-
PKD1L2,EP hit,-
RIMS2,EP hit,-
VCP,EP hit,-
